a0,a2,a3,a4,a7,a10,class
383.713757,0.123056,8.631861,0.009693,-0.389197,956227.1269,D
426.211007,0.123547,8.676408,0.008201,-0.488453,1200042.105,D
379.923061,0.114089,8.721579,0.007326,-0.568167,898552.1757,D
385.593175,0.112758,8.712357,0.006912,-0.634125,882205.5408,D
384.319576,0.116887,8.695882,0.006815,-0.626774,972516.6846,D
337.160744,0.122914,8.656368,0.007517,-0.558413,822317.9627,D
318.340083,0.116652,8.646174,0.009803,-0.450056,685080.6212,D
334.820992,0.117903,8.696897,0.010054,-0.394985,725392.3451,D
305.735535,0.119043,8.642137,0.010751,-0.324007,666781.158,D
293.414098,0.137209,8.640958,0.005987,-0.434139,1079432.562,D
280.269738,0.122624,8.606119,0.012138,-0.299965,568503.6499,D
251.731114,0.144679,8.63294,0.004327,-0.524217,564933.7771,D
261.154748,0.14434,8.644163,0.004291,-0.521049,577590.0532,D
253.573308,0.148364,8.632174,0.004207,-0.546134,555339.924,D
279.890658,0.151416,8.608837,0.003862,-0.625375,659137.7726,D
281.104968,0.149779,8.628321,0.003822,-0.619556,677624.3258,D
289.514558,0.153626,8.627976,0.004086,-0.661931,717461.0407,D
290.309777,0.150243,8.634966,0.004392,-0.670415,712416.5801,D
290.857874,0.153578,8.62428,0.004479,-0.709723,700588.7775,D
290.219028,0.143291,8.643205,0.004672,-0.775008,677189.6742,D
240.774747,0.152593,8.466165,0.007827,-0.441943,684091.1186,D
290.800347,0.14301,8.642167,0.004978,-0.806398,714206.8696,D
369.54519,0.139308,8.590408,0.006527,-0.455738,1292307.776,D
294.751284,0.150056,8.454535,0.009598,-0.540566,814672.953,D
286.324535,0.173772,8.435134,0.005566,-0.611786,926180.2515,D
329.920212,0.168623,8.414109,0.004919,-0.642398,1063265.981,D
340.848992,0.166106,8.368518,0.004274,-0.669379,1438554.679,D
334.911619,0.160343,8.365266,0.004328,-0.784143,1374473.967,D
451.347479,0.12198,8.707553,0.001912,-0.663422,2836608.144,D
297.763427,0.162889,8.32949,0.00515,-0.593457,998997.9974,D
364.675902,0.145316,8.495845,0.003048,-0.562876,1638348.569,DD
186.750997,0.161903,8.234818,0.012317,-0.257237,334788.569,DD
286.058422,0.183629,8.518665,0.004769,-0.31095,1436661.543,DD
289.77163,0.138172,8.507564,0.006274,-0.271048,751480.8758,DD
172.843182,0.166441,8.268204,0.014542,-0.479566,249273.2204,DD
172.398235,0.169163,8.242811,0.014709,-0.416476,264558.5052,DD
172.931272,0.177308,8.225421,0.014978,-0.495773,271342.9363,DD
173.837909,0.177749,8.222503,0.016295,-0.531421,263466.128,DD
176.5782,0.176606,8.220358,0.017716,-0.532781,273181.1159,DD
183.096103,0.176806,8.240546,0.018243,-0.518824,288554.5398,DD
188.921669,0.173161,8.250386,0.018209,-0.572093,308643.6632,DD
188.921669,0.173161,8.250386,0.018209,-0.572093,308643.6632,DD
196.053748,0.16897,8.26601,0.01854,-0.513809,334801.7333,DD
232.04274,0.16334,8.215275,0.01193,-0.258426,595314.0823,DD
199.024645,0.16713,8.289147,0.019729,-0.56699,318247.9665,DD
331.302993,0.153046,8.541172,0.007625,0.062406,1164689.417,DD
340.183802,0.154629,8.519418,0.007469,0.040812,1235643.719,DD
346.535842,0.161023,8.489969,0.007279,0.106614,1291394.335,DD
353.689368,0.163053,8.451068,0.007381,0.135587,1413836.844,DD
353.94535,0.167053,8.430175,0.007085,0.071194,1457083.269,DD
214.974566,0.306889,7.383778,0.006688,0.268359,1180946.47,DD
300.380351,0.138619,8.596133,0.008892,-0.193284,723495.9148,DD
227.343912,0.171257,8.421472,0.005596,0.038816,535707.2845,DD
218.587775,0.171603,8.402348,0.005735,0.066052,493176.353,DD
185.387464,0.230486,7.752267,0.028371,-0.151436,641792.9371,DD
209.749629,0.170338,8.394991,0.005764,0.057359,457690.713,DD
204.295722,0.174245,8.381722,0.005795,0.086398,428744.4659,DD
204.945861,0.174464,8.367912,0.006078,0.148505,430290.1338,DD
210.39679,0.16539,8.411219,0.006574,0.135133,419179.2347,DD
218.720225,0.169207,8.401427,0.006399,0.165329,454704.5348,DD
216.446865,0.167162,8.414232,0.006501,0.189086,422151.4996,DD
221.052693,0.164438,8.42083,0.00699,0.240536,414758.3522,DD
312.19419,0.259193,7.694266,0.005772,-0.245433,1630881.57,DD
315.522732,0.262942,7.667148,0.005742,-0.244248,1696366.28,DD
323.61164,0.263612,7.682197,0.005571,-0.225582,1810317.698,DD
207.904143,0.213171,7.983829,0.016175,-0.1837,819804.2952,DD
326.864703,0.263671,7.695944,0.005263,-0.215724,1920574.868,DD
337.915775,0.262854,7.72875,0.004846,-0.232729,2062884.966,DD
335.264439,0.254477,7.779957,0.004586,-0.261549,2055764.743,DD
348.451805,0.267629,7.701265,0.004552,-0.233679,2239041.248,DD
351.787012,0.264217,7.72051,0.0046,-0.253247,2214021.222,DD
360.980027,0.260064,7.74821,0.004566,-0.261339,2313218.699,DD
365.633196,0.256146,7.79053,0.004484,-0.284148,2319567.774,DD
334.357388,0.123646,8.739838,0.007617,-0.426009,1170078.533,DD
323.217042,0.121654,8.698064,0.008359,-0.509592,1099705.153,DD
251.605935,0.14188,8.475664,0.011095,-0.573408,743764.094,DD
237.7523,0.185626,8.316244,0.008164,-0.210388,1107689.119,DD
275.979893,0.181932,8.311263,0.012455,-0.312298,924727.6495,DD
272.791486,0.189152,8.232463,0.01512,-0.245428,875505.6302,DD
253.266628,0.190577,8.2112,0.017894,-0.163259,733188.5313,DD
227.766982,0.194429,8.174708,0.01902,-0.114686,694474.8844,DD
240.848067,0.192236,8.227449,0.020455,-0.18924,743039.4323,DD
259.787078,0.173459,8.319545,0.02141,-0.177369,712003.0801,DD
269.351002,0.157406,8.415314,0.021633,-0.2136,733103.1576,DD
365.313415,0.125208,8.669225,0.016938,-0.269719,1109471.236,DD
283.691262,0.136867,8.539421,0.01944,-0.281447,871427.1262,DD
444.58182,0.117238,8.753577,0.015335,-0.250914,1288056.065,DD
266.3082,0.177068,8.513797,0.004037,-0.284437,1542155.953,DD
439.11614,0.128383,8.72599,0.014593,-0.174241,1278049.521,DD
406.433837,0.135998,8.672926,0.014336,-0.122897,1107801.336,DD
257.125364,0.149979,8.471647,0.020806,-0.072629,513937.8665,DD
221.88305,0.159571,8.371267,0.02385,0.023585,395848.1908,DD
194.358523,0.172608,8.307218,0.023245,0.080747,362241.9771,DD
190.659201,0.180027,8.278114,0.02253,0.066392,341534.1502,DD
294.096723,0.167438,8.441249,0.017185,0.122728,754405.107,DD
202.888682,0.182622,8.285125,0.025143,0.159767,437811.4648,DD
201.986677,0.185623,8.281385,0.024464,0.14248,441322.2182,DD
207.197497,0.185425,8.292286,0.023662,0.169652,470851.4031,DD
343.025384,0.197855,8.42023,0.001979,-0.361053,2603935.624,DD
210.449513,0.183381,8.312894,0.022738,0.203817,482158.9276,DD
223.277062,0.132174,8.543497,0.014507,-0.263557,358794.3752,DD
225.749169,0.131943,8.537275,0.014238,-0.243477,391725.224,DD
235.734263,0.127351,8.554328,0.013938,-0.273988,410714.4803,DD
245.358231,0.128079,8.569627,0.013363,-0.310568,431974.763,DD
239.083527,0.127827,8.558677,0.013164,-0.323472,392942.855,DD
240.788013,0.127963,8.572732,0.012774,-0.364694,387820.9244,DD
248.105897,0.146375,8.550951,0.007695,-0.430729,540339.0205,DD
243.944895,0.148878,8.534609,0.00747,-0.40412,528205.5751,DD
249.492591,0.152072,8.514008,0.007067,-0.417336,592268.0893,DD
346.435839,0.200549,8.401965,0.001883,-0.363501,2706171.136,DD
243.962719,0.154495,8.490074,0.006295,-0.359247,570278.6355,DD
392.597178,0.122805,8.739012,0.005993,-0.417925,1490473.454,DD
408.740418,0.120798,8.747144,0.005861,-0.455988,1621267.125,DD
425.299963,0.120461,8.777661,0.00531,-0.478801,1761437.874,DD
507.347315,0.113274,8.866985,0.004046,-0.502665,2963356.341,DD
511.734178,0.11483,8.846315,0.003607,-0.656746,3196019.302,DD
508.905411,0.118981,8.817401,0.003312,-0.825862,3351573.702,DD
518.598585,0.119211,8.781687,0.003344,-0.837744,3470162.771,DD
525.581345,0.118481,8.763776,0.003621,-0.841923,3445171.457,DD
515.059351,0.121539,8.749883,0.003925,-0.829377,3324451.464,DD
342.623553,0.192632,8.470417,0.002096,-0.361964,2567876.258,DD
493.600084,0.124172,8.717959,0.004005,-0.947272,3179866.027,DD
299.680903,0.150468,8.417972,0.010888,-0.404338,770899.4828,DD
295.536339,0.146806,8.428296,0.010862,-0.33725,712957.5582,DD
288.26028,0.147428,8.408894,0.010875,-0.306713,684270.0471,DD
283.38861,0.144693,8.429864,0.011536,-0.295822,636102.6015,DD
283.395356,0.140402,8.447579,0.012223,-0.252606,624199.7778,DD
286.470862,0.137879,8.455456,0.011918,-0.277355,627759.2603,DD
281.927208,0.142436,8.479,0.009151,-0.388511,667252.4823,DD
284.695397,0.144133,8.483921,0.008097,-0.340738,685987.9213,DD
293.700388,0.137818,8.504986,0.007096,-0.318614,743122.3212,ESCS
272.060314,0.121753,8.63005,0.004232,-0.211899,748598.7028,ESCS
130.909212,0.155026,8.180184,0.017013,-0.171553,104898.81,ESCS
292.530532,0.238591,8.197269,0.002138,0.287376,1337065.204,ESCS
145.224965,0.147438,8.219261,0.019001,-0.207928,146195.3452,ESCS
156.491832,0.14755,8.2679,0.019147,-0.239213,157665.7701,ESCS
161.422676,0.143771,8.29685,0.018943,-0.141295,190024.4693,ESCS
156.784831,0.142077,8.307504,0.019989,-0.104571,176668.5184,ESCS
